trade_id,trade_date,source_report,isin,exchange_ticker,action,shares_delta,previous_weight_pct,new_weight_pct,weight_change_pct,target_weight_pct,conviction_tier,portfolio_role,funding_source_note
bootstrap-2026-05-30-CASH,2026-05-30,bootstrap,,CASH,Initial cash-only state,0.0,0.0,0.0,0.0,0.0,,,EU/UCITS model starts cash-only until candidates pass investability validation
model-eu-2026-07-16-20260716_012900-02-SXR8-BUY,2026-07-16,allocation:etf_eu_allocation_decision_20260716_012900.json,IE00B5BMR087,SXR8,Buy,10,0.000000,7.100000,7.100000,7.500000,Core satellite,U.S. equity overweight,Guarded Weekly ETF EU model activation funded from cash; no real broker order was placed.
model-eu-2026-07-16-20260716_205500-01-VWCE-BUY,2026-07-16,broker-neutral-review:etf_eu_broker_neutral_allocation_review_20260716_205500.json,IE00BK5BQT80,VWCE,Buy,151,0.000000,24.959177,24.959177,25.000000,Core,Global core equity,Guarded broker-neutral Weekly ETF EU model activation funded from cash; no real broker order was placed.
model-eu-2026-07-16-20260716_205500-02-EUNA-BUY,2026-07-16,broker-neutral-review:etf_eu_broker_neutral_allocation_review_20260716_205500.json,IE00BDBRDM35,EUNA,Buy,1526,0.000000,7.495996,7.495996,7.500000,Stabiliser,Stabilising aggregate bonds,Guarded broker-neutral Weekly ETF EU model activation funded from cash; no real broker order was placed.
model-eu-2026-08-04-20260804_STAGE1_30947965670_1-01-L0CK-BUY,2026-08-04,allocation:etf_eu_stage1_allocation_decision_20260804_STAGE1_30947965670_1.json,IE00BG0J4C88,L0CK,Buy,934,0.000000,10.255987,10.255987,10.158610,Satellite,Cybersecurity satellite,Guarded Weekly ETF EU model activation funded from cash; no real broker order was placed.
model-eu-2026-08-10-20260810_123000-01-DFEN-BUY,2026-08-10,allocation:etf_eu_current_allocation_decision_20260810_123000.json,IE000YYE6WK5,DFEN,Buy,207,0.000000,11.983713,11.983713,0.000000,High,Defense resilience satellite,Guarded Weekly ETF EU model activation funded from cash; no real broker order was placed.
model-eu-2026-08-10-20260810_123000-02-IQQQ-BUY,2026-08-10,allocation:etf_eu_current_allocation_decision_20260810_123000.json,IE00B1TXK627,IQQQ,Buy,149,0.000000,9.961561,9.961561,0.000000,High,Water infrastructure satellite,Guarded Weekly ETF EU model activation funded from cash; no real broker order was placed.
